geonameid	name	asciiname	alternatenames	latitude	longitude	"feature class"	"feature code"	"country code"	cc2	"admin1 code"	"admin2 code"	"admin3 code"	"admin4 code"	population	elevation	dem	timezone	"modification date"
49518	Republic of Rwanda	Republic of Rwanda	Luanita,Luanitā,Republic of Rwanda,Republika y'u Rwanda,Republika y’u Rwanda,Republique Rwandaise,Republique du Rwanda,Residence du Ruanda,Roanda,Rouanda,Rouanta,Ru-an-ga,Ru-an-ga (Rwanda),Ru-an-đa,Ru-an-đa (Rwanda),Ruanda,Ruanda - Rwanda,Ruandaea,Ruandaen,Ruande,Ruando,Ruandäa,Ruandän,Ruandë,Rubhanda,Ruwanda,Ruwanndaa,Ruwànda,Rwanda,Rwanda nutome,Rwandese Republic,République Rwandaise,République du Rwanda,Résidence du Ruanda,Rúanda,U Rwanda,i-Rwanda,ir-Rwanda,leuwanda,lu an da,lu wang da,prathes rwanda,raoraanda,ravanda,rawanda,ru'anda,ruanda,ruvanda,ruvanta,ruwanda,ruwanda gong he guo,ruwanida,ruyanda,rvanda,rwanda,rwanڈa,rwanڊa,rwnda,rwwanda,rwwanڈa,rwwʼandʻ,rwʼndh,ryvanda,u Rwanda,Ρουάντα,Руанда,Ռուանդա,רואנדה,רוואַנדע,رواندا,روانڈا,روانڊا,روندا,روواندا,روٗوانڈا,رىۋاندا,رۋاندا,रवांडा,रवाण्डा,रूआण्डा,রুয়ান্ডা,ৰোৱাণ্ডা,ਰਵਾਂਡਾ,રવાંડા,ରାୱାଣ୍ଡା,ருவாண்டா,రువాండా,ರುವಾಂಡಾ,റുവാണ്ട,රවනඩාව,රුවන්ඩාව,ประเทศรวันดา,รวันดา,ຣວນດາ,ຣວັນດາ,ར་ཝན་ཌ,ར་ཝན་ཌ།,རུ་ཝན་ཌ,རུ་ཝན་ཌ།,ရဝန်ဒါ,რუანდა,ሩዋንዳ,រវានដា,រវ៉ាន់ដា,ルワンダ,ルワンダ共和国,卢旺达,盧安達,르완다	-2	30	A	PCLI	RW		00				12301939		1354	Africa/Kigali	2021-08-16
49521	Muvogero	Muvogero	Chizinga,Cshisinga,Cyizinga,Kizinga,Muvogero,River Chisinga,Tshinzinga	-1.1294	30.3436	H	STM	RW	UG	00				0		1323	Africa/Kigali	2014-03-05
49524	Muhavura	Muhavura	Mount Muhabura,Mount Muhavura,Muhavura,Volcan Muhabura,Volcan Muhavura	-1.3806	29.6773	T	VLC	RW	UG	00				0	4127	3970	Africa/Kigali	2020-02-25
49525	Vigaga	Vigaga	Kiruruma,Kirurumu,Vigaga	-1.35	29.88333	H	STM	RW	UG	00				0		2217	Africa/Kigali	2014-03-05
49526	Volcan Karisimbi	Volcan Karisimbi	Karisimbi,Karisimbis,Monte Karisimbi,Mount Karisimbi,Mount Karisimbra,Volcan Karisimbi,Карисимби	-1.50778	29.44722	T	VLC	RW	CD,RW	00				0	4510	4302	Africa/Kigali	2020-02-19
49528	Volcan Gahinga	Volcan Gahinga	Gahinga,Mahing,Mgahinga,Volcan Gahinga	-1.3844	29.644	T	VLC	RW	UG					0	3474	3389	Africa/Kampala	2021-08-14
158375	Ravin Kanyonza	Ravin Kanyonza		-1.07482	30.45717	H	RVN	RW	TZ	00				0		1275	Africa/Dar_es_Salaam	2021-08-05
201358	Zivu	Zivu		-2.5551	29.8106	P	PPLL	RW		15	22	2213	221305	0		1582	Africa/Kigali	2016-07-06
201359	Zaza	Zaza	Nsaza,Nzaza,Zaza	-2.16965	30.42621	P	PPL	RW		11	56	5614	561403	0		1425	Africa/Kigali	2016-07-06
201360	Zanzati	Zanzati		-1.8	30.08333	H	STM	RW		13				0		1498	Africa/Kigali	1994-01-04
